Company,Symbol,Date,Segment,Call,Price
Apple (AAPL),AAPL,2018-01-02,D,1,$172.26
AutoNation (AN),AN,2018-01-02,D,2,$52.47
Boeing (BA),BA,2018-01-02,D,1,$296.84
Best Buy (BBY),BBY,2018-01-02,D,2,$69.16
Caterpillar (CAT),CAT,2018-01-02,D,1,$157.04
Carvana (CVNA),CVNA,2018-01-02,D,4,$18.31
Enterprise Products Partn (EPD),EPD,2018-01-02,D,1,$26.88
Meta (FB),FB,2018-01-02,D,1,$181.42
FedEx (FDX),FDX,2018-01-02,D,1,$257.60
Carmax (KMX),KMX,2018-01-02,F,1,$64.76
L Brands (LB),LB,2018-01-02,D,2,$59.89
Macy's (M),M,2018-01-02,D,2,$26.31
Magellan Midstream Partne (MMP),MMP,2018-01-02,D,1,$71.01
Netflix (NFLX),NFLX,2018-01-02,D,1,$201.07
Schlumberger (SLB),SLB,2018-01-02,D,1,$69.52
United Parcel Service (UPS),UPS,2018-01-02,D,1,$123.67
Visa (V),V,2018-01-02,D,1,$114.51
VMware (VMW),VMW,2018-01-02,D,1,$127.29
Walmart (WMT),WMT,2018-01-02,D,1,$98.59
Dominion Energy (D),D,2018-01-03,D,1,$77.19
Dicks Sporting Goods (DKS),DKS,2018-01-03,D,1,$30.28
General Electric (GE),GE,2018-01-03,D,4,$18.15
IBM (IBM),IBM,2018-01-03,D,1,$158.49
MindBody (MB),MB,2018-01-03,I,1,$32.05
Magellan Midstream Partne (MMP),MMP,2018-01-03,D,1,$72.96
Merck (MRK),MRK,2018-01-03,D,4,$56.14
Nucor (NUE),NUE,2018-01-03,D,2,$67.39
Dave and Busters (PLAY),PLAY,2018-01-03,D,1,$55.90
Children's Place (PLCE),PLCE,2018-01-03,F,1,$149.05
Ulta Beauty (ULTA),ULTA,2018-01-03,D,1,$245.12
United Parcel Service (UPS),UPS,2018-01-03,D,2,$126.41
Verizon (VZ),VZ,2018-01-03,D,4,$52.43
Wells Fargo (WFC),WFC,2018-01-03,D,2,$61.56
Waste Management (WM),WM,2018-01-03,D,1,$87.35
Exxon Mobil (XOM),XOM,2018-01-03,D,4,$86.70
Adobe Systems (ADBE),ADBE,2018-01-04,D,2,$183.22
Align Technology (ALGN),ALGN,2018-01-04,D,1,$233.30
Boeing (BA),BA,2018-01-04,D,1,$296.67
Bank of America (BAC),BAC,2018-01-04,D,1,$30.19
Salesforce (CRM),CRM,2018-01-04,D,2,$106.68
Dominion Energy (D),D,2018-01-04,I,1,$76.83
D R Horton (DHI),DHI,2018-01-04,D,5,$52.07
Domino's Pizza (DPZ),DPZ,2018-01-04,D,1,$197.29
International Paper (IP),IP,2018-01-04,D,1,$61.58
JPMorgan Chase (JPM),JPM,2018-01-04,D,1,$109.04
Micron Technology (MU),MU,2018-01-04,D,4,$46.88
NRG Energy (NRG),NRG,2018-01-04,D,4,$28.55
NVIDIA (NVDA),NVDA,2018-01-04,D,1,$213.59
Pulte Homes (PHM),PHM,2018-01-04,D,5,$33.83
Planet Fitness (PLNT),PLNT,2018-01-04,I,1,$32.51
PayPal (PYPL),PYPL,2018-01-04,D,1,$76.73
Vertex Pharmaceuticals (VRTX),VRTX,2018-01-04,D,1,$153.07
Workday (WDAY),WDAY,2018-01-04,D,2,$109.25
Wells Fargo (WFC),WFC,2018-01-04,D,1,$62.33
Wynn Resorts (WYNN),WYNN,2018-01-04,D,1,$163.40
Advance Auto Parts (AAP),AAP,2018-01-05,D,2,$112.18
Allergan (AGN),AGN,2018-01-05,D,1,$172.29
BlackRock (BLK),BLK,2018-01-05,D,1,$525.57
Chesapeake Energy (CHK),CHK,2018-01-05,D,5,$3.99
