Datetime,Symbol,Text,Retweeted,price,30_days_price,90_days_price,180_days_price,sentiment,30_days_return,90_days_return,180_days_return
2023-01-25 03:05:45+00:00,MMM,"To me the worst quarter of the season so far is $MMM. Just dismal with a ""dry"" January included",,111.4542999267578,107.8000030517578,,,1,-0.032787401449754935,,
2021-11-30 14:22:02+00:00,MMM,"$MRNA, $SQ, $F, $MMM &amp; more… all covered in this morning’s pre-market bulletin. What are you watching this a.m.? https://t.co/GUkgq8DNo3",,160.99183654785156,168.1874237060547,142.1005096435547,144.15452575683594,1,0.04469535420241251,-0.11734338404594702,-0.10458487307218882
2020-09-24 08:36:51+00:00,MMM,"If you look at the https://t.co/NS3syOn64o you will see some great companies helping us: $UA, $MMM, $HON and Lydall among others.  https://t.co/NS3syOn64o   #milliondollarmask",,145.9484405517578,151.17063903808594,159.66368103027344,174.24703979492188,5,0.03578111877444948,0.09397318961864329,0.1938944954545678
2020-08-27 08:46:42+00:00,MMM,"thank you to Mike Roman and the great folks at 3M, $MMM for participating in the https://t.co/gnyh9xfGlN competition to develop a community mask we all might like. only 15 to 24 year olds need apply. $1 million from us to you...",,149.27828979492188,147.0765838623047,162.53591918945312,162.99635314941406,5,-0.014749002923612572,0.08881150375412625,0.09189590377367016
2020-01-28 17:44:08+00:00,MMM,the stock needs to see that return.. as this is so painful...  $mmm,,146.491455078125,134.0521697998047,137.16778564453125,147.17445373535156,1,-0.08491474995375224,-0.06364650708549087,0.004662378818357113
2018-11-14 16:01:06+00:00,MMM,"People don't want a buyback from $MMM, they want growth! Hence why the stock is down and why we had to sell the darned thing",,168.36566162109375,167.83790588378906,176.79896545410156,150.01292419433594,1,-0.0031345806040450203,0.05008921505613733,-0.10900522856056347
2018-01-19 08:55:08+00:00,MMM,"I have always loved Minneapolis and want to do my show from there: $TGT, $GIS, $MMM! https://t.co/TTGqOhgTz3",,206.92295837402344,197.1480712890625,183.54473876953125,170.7405242919922,5,-0.047239258329625985,-0.11298030816974357,-0.17485944704419756
2017-10-24 18:12:00+00:00,MMM,Today’s numbers show why $MMM is a core holding for so many managers https://t.co/DNToUwYK3f,,194.66017150878903,192.9157867431641,206.1892852783203,181.0538330078125,5,-0.008961179639904834,0.05922687563752985,-0.0698979066725121
2017-10-24 11:37:51+00:00,MMM,"Earnings--it was always earnings. That's the game--and they are beast beats! $MMM, $CAT, $UTX",,194.66017150878903,192.91583251953125,206.1892852783203,181.05381774902344,1,-0.008960944479487557,0.05922687563752985,-0.06989798505931791
2016-08-17 14:32:58+00:00,MMM,thanks for the kudos. $MMM has done a fabulous job and is a very good stock.  https://t.co/hWBH1egNza,,145.59408569335938,141.70062255859375,141.03692626953125,147.46435546875,5,-0.026741904495803347,-0.031300443298405076,0.012845781245054578
